Company,Symbol
HDFC Bank Ltd.,HDFCBANK
ICICI Bank Ltd.,ICICIBANK
State Bank of India,SBIN
Reliance Industries Ltd.,RELIANCE
Axis Bank Ltd.,AXISBANK
Larsen & Toubro Ltd.,LT
Voltas Ltd.,VOLTAS
Infosys Ltd.,INFY
Gujarat State Petronet Ltd.,GSPL
Page Industries Ltd.,PAGEIND
Max Financial Services Ltd.,MFSL
Tata Consultancy Services Ltd.,TCS
MindTree Ltd.,MINDTREE
Indusind Bank Ltd.,INDUSINDBK
Power Finance Corpn. Ltd.,PFC
Tata Global Beverages Ltd.,TATACONSUM
Balkrishna Industries Ltd.,BALKRISIND
Hindustan Petroleum Corpn. Ltd.,HINDPETRO
Dr. Lal Pathlabs Ltd.,LALPATHLAB
Dabur India Ltd.,DABUR
Tata Chemicals Ltd.,TATACHEM
Ajanta Pharma Ltd.,AJANTPHARM
ITC Ltd.,ITC
Syngene International Ltd.,SYNGENE
Maruti Suzuki India Ltd.,MARUTI
Aditya Birla Fashion and Retail Ltd.,ABFRL
TVS Motor Co. Ltd.,TVSMOTOR
Ipca Laboratories Ltd.,IPCALAB
Muthoot Finance Ltd.,MUTHOOTFIN
SRF Ltd.,SRF
National Thermal Power Corp. Ltd.,NTPC
Kotak Mahindra Bank Ltd.,KOTAKBANK
Kansai Nerolac Paints Ltd.,KANSAINER
JK Cement Ltd,JKCEMENT
Vinati Organics Ltd.,VINATIORGA
Tata Steel Ltd.,TATASTEEL
Bharat Electronics Ltd.,BEL
Natco Pharma Ltd.,NATCOPHARM
Sun Pharmaceutical Inds. Ltd.,SUNPHARMA
Havells India Ltd.,HAVELLS
Indian Energy Exchange Ltd.,IEX
Jyothy Laboratories Ltd.,JYOTHYLAB
Torrent Pharmaceuticals Ltd.,TORNTPHARM
SKF India Ltd.,SKFINDIA
HDFC Standard Life Insurance Company Ltd.,HDFCLIFE
Raymond Ltd.,RAYMOND
Emami Ltd.,EMAMILTD
Hindustan Unilever Ltd.,HINDUNILVR
Titan Company Ltd.,TITAN
Gateway Distriparks Ltd.,GDL
Ceat Ltd.,CEATLTD
Coal India Ltd.,COALINDIA
Equitas Micro Finance India Pvt Ltd.,EQUITAS
Finolex Cables Ltd.,FINCABLES
Divi's Laboratories Ltd.,DIVISLAB
Info Edge (India) Ltd.,NAUKRI
National Aluminium Co. Ltd.,NATIONALUM
Khadim India Ltd.,KHADIM
Dixon Technologies (India) Ltd.,DIXON
Hawkins Cookers Ltd.,HAWKINCOOK
Hatsun Agro Products Ltd.,HATSUN
Relaxo Footwears Ltd.,RELAXO
Narayana Hrudayalaya Ltd.,NH
Indostar Capital Finance Pvt Ltd.,INDOSTAR
TI Financial Holdings Ltd.,TIINDIA
Blue Star Ltd.,BLUESTARCO
Catholic Syrian Bank Ltd.,CSBBANK
Carborundum Universal Ltd.,CARBORUNIV
Triveni Turbine Ltd.,TRITURBINE
Simran Wind Project Ltd.,UNK:X
Nifty 50,IND:NIFTY
Sheela Foam Ltd.,SFL
Galaxy Surfactants Ltd.,GALAXYSURF
NIIT Ltd.,NIITTECH
Grindwell Norton Ltd.,GRINDWELL
Timken India Ltd.,TIMKEN
NHPC Ltd.,NHPC
Engineers India Ltd.,ENGINERSIN
Kirloskar Oil Engines Ltd.,KIRLOSENG
Chalet Hotel Ltd.,CHALET
Alembic Ltd.,APLLTD
Can Fin Homes Ltd.,CANFINHOME
Lemon Tree Hotels Ltd.,LEMONTREE
Kewal Kiran Clothing Ltd.,KKCL
Elgi Equipments Ltd.,ELGIEQUIP
Tamil Nadu Newsprint & Papers Ltd.,TNPL
Agro Tech Foods Ltd.,ATFL
Fine Organic Industries Ltd.,FINEORG
Bharat Heavy Electricals Ltd.,BHEL
Great Eastern Shipping Company Ltd.,GESHIP
Others,UNK:X
Alstom T&D India Ltd.,GET&D
Garware-Wall Ropes Ltd.,GARFIBRES
Disa India Ltd.,500068
Control Print Ltd.,CONTROLPR
Ashiana Housing Ltd.,ASHIANA
Rajratan Global Wire Ltd.,RAJGLOWIR
Adi Finechem Ltd.,FAIRCHEM
Thangamayil Jewellery Ltd.,THANGAMAYL
Shreno Ltd.,UNK:X
MM Forgings Ltd.,MMFL
V2 Retail Ltd.,V2RETAIL
Pilani Investment & Inds. Corpn. Ltd.,PILANIINVS
UFO Moviez India Ltd.,UFO
Mas Financial Services Ltd.,MASFIN
City Union Bank Ltd.,CUB
Aarti Industries Ltd.,AARTIIND
NIIT Technologies Ltd.,NIITTECH
JK Lakshmi Cement Ltd.,JKLAKSHMI
Brigade Enterprises Ltd.,BRIGADE
Gulf Oil Lubricants India Ltd.,GULFOILLUB
Heidelberg Cement India Ltd.,HEIDELBERG
Ahluwalia Contracts (India) Ltd.,AHLUCONT
VST Industries Ltd.,VSTIND
JM Financial Ltd.,JMFINANCIL
Multi Commodity Exchange India,MCX
Neogen Chemicals Ltd.,NEOGEN
Orient Refractories Limited,ORIENTREF
Orient Electric Ltd.,ORIENTELEC
TCNS Clothing Co Ltd.,TCNSBRANDS
Varroc Engineering Pvt Ltd.,VARROC
Vesuvius India Ltd.,VESUVIUS
KNR Constructions Ltd.,KNRCON
Igarashi Motors India Ltd.,IGARASHI
Minda Industries Ltd.,MINDAIND
V-Guard Industries Ltd.,VGUARD
RBL Bank Ltd.,RBLBANK
Sumitomo Chemical India Pvt. Ltd.,SUMICHEM
TTK Prestige Ltd.,TTKPRESTIG
Indian Railway Catering & Tourism Corpn. Ltd.,IRCTC
Rallis India Ltd.,RALLIS
PNC Infratech Ltd.,PNCINFRA
Arti Surfactants Ltd.,UNK:X
Bajaj Finance Ltd.,BAJFINANCE
Housing Development Finance Corpn. Ltd.,HDFC
Atul Ltd.,ATUL
Jubilant FoodWorks Ltd.,JUBLFOOD
Cholamandalam Investment & Finance Co. Ltd.,CHOLAFIN
Whirlpool Of India Ltd.,WHIRLPOOL
Gujarat Gas Ltd.,GUJGASLTD
AU Financiers India Pvt. Ltd.,AUBANK
Honeywell Automation India Ltd.,HONAUT
Larsen & Toubro Infotech Ltd.,LTI
Britannia Industries Ltd.,BRITANNIA
Indian Hotels Co. Ltd.,INDHOTEL
AIA Engineering Ltd.,AIAENG
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
Century Textiles & Inds. Ltd.,CENTURYTEX
Bharti Airtel Ltd.,BHARTIARTL
The Ramco Cements Ltd.,RAMCOCEM
Abbott India Ltd.,ABBOTINDIA
Indraprastha Gas Ltd.,IGL
Alkem Laboratories Ltd.,ALKEM
Jubilant Life Sciences Ltd,JUBILANT
Odisha Cement Ltd.,DALBHARAT
ICICI Lombard General Insurance Comapny Limited,ICICIGI
Bharat Forge Ltd.,BHARATFORG
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
CESC Ltd.,CESC
Mahindra & Mahindra Ltd.,M&M
Avenue Supermarts Ltd.,DMART
Navin Fluorine International Ltd.,NAVINFLUOR
Tech Mahindra Ltd.,TECHM
Solar Industries India Ltd.,SOLARINDS
Sundram Fasteners Ltd.,SUNDRMFAST
TCI Express Ltd.,TCIEXP
United Spirits Ltd.,MCDOWELL-N
ISGEC Heavy Engineering Ltd.,533033
Transport Corporation Of India Ltd.,TCI
Crompton Greaves Consumer Electricals Ltd.,CROMPTON
Bata India Ltd.,BATAINDIA
Astral Poly Technik Ltd.,ASTRAL
Asian Paints Ltd.,ASIANPAINT
Eicher Motors Ltd.,EICHERMOT
3M India Ltd.,3MINDIA
Wabco India Ltd.,WABCOINDIA
Coromandel International Ltd.,COROMANDEL
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Sanofi India Ltd.,SANOFI
Hexaware Technologies Ltd.,HEXAWARE
Exide Industries Ltd.,EXIDEIND
Mphasis Ltd.,MPHASIS
Mahanagar Gas Ltd.,MGL
FAG Bearings India Ltd.,SCHAEFFLER
Torrent Power Ltd.,TORNTPOWER
Mishra Dhatu Nigam Ltd.,MIDHANI
KEC International Ltd.,KEC
Phoenix Mills Ltd.,PHOENIXLTD
Indiamart Intermesh Ltd.,INDIAMART
DCB Bank Ltd.,DCBBANK
Reliance Nippon Life Asset Management Limited.,NAM-INDIA
Motilal Oswal Financial Services Ltd,MOTILALOFS
L&T Technology Services Ltd.,LTTS
Mahindra Logistics Ltd.,MAHLOG
Heritage Foods Ltd.,HERITGFOOD
Music Broadcast Pvt Ltd.,RADIOCITY
Petronet LNG Ltd.,PETRONET
Vaibhav Global Ltd.,VAIBHAVGBL
PI Industries Ltd.,PIIND
Trent Ltd.,TRENT
Supreme Industries Ltd.,SUPREMEIND
Sundaram Finance Ltd.,SUNDARMHLD
Bandhan Bank Ltd.,BANDHANBNK
Endurance Technologies Ltd.,ENDURANCE
ACC Ltd.,ACC
Alembic Pharmaceuticals Ltd.,APLLTD
ICICI Securities Ltd.,ISEC
Cummins India Ltd.,CUMMINSIND
Thermax Ltd.,THERMAX
Kajaria Ceramics Ltd.,KAJARIACER
Shree Cement Ltd.,SHREECEM
Cadila Healthcare Ltd.,CADILAHC
APL Apollo Tubes Ltd.,APLAPOLLO
Federal Bank Ltd.,FEDERALBNK
Ratnamani Metals & Tubes Ltd.,RATNAMANI
Jindal Steel & Power Ltd.,JINDALSTEL
Shriram City Union Finance Ltd.,SHRIRAMCIT
Oberoi Realty Ltd.,OBEROIRLTY
Godrej Agrovet Ltd.,GODREJAGRO
Motherson Sumi Systems Ltd.,MOTHERSUMI
MRF Ltd.,MRF
Lux Industries Ltd.,LUXIND
Amara Raja Batteries Ltd.,AMARAJABAT
Persistent Systems Ltd.,PERSISTENT
Eris Lifesciences Ltd,ERIS
Tube Investments Of India Ltd.,TIINDIA
BEML Ltd,BEML
Bharti Retail Ltd,FRETAIL
Laurus Labs Ltd.,LAURUSLABS
Navneet Education Ltd.,NAVNETEDUL
Edelweiss Financial Services Ltd.,EDELWEISS
Kalpataru Power Transmission Ltd.,KALPATPOWR
Ramkrishna Forgings Ltd.,RKFORGE
WPIL Ltd.,WPIL
HCL Technologies Ltd.,HCLTECH
Escorts Ltd.,ESCORTS
Ultratech Cement Ltd.,ULTRACEMCO
Container Corpn. Of India Ltd.,CONCOR
Central Depository Services (India) Ltd.,CDSL
Bharat Petroleum Corpn. Ltd.,BPCL
Cipla Ltd.,CIPLA
Tata Motors Ltd.,TATAMOTORS
Ashok Leyland Ltd.,ASHOKLEY
Apex Frozen Foods Ltd.,APEX
Kei Industries Ltd.,KEI
Wipro Ltd.,WIPRO
Grasim Industries Ltd.,GRASIM
Indian Oil Corpn. Ltd.,IOC
Biocon Ltd.,BIOCON
Dr. Reddy's Laboratories Ltd.,DRREDDY
Aurobindo Pharma Ltd.,AUROPHARMA
Zee Entertainment Enterprises Ltd.,ZEEL
Power Grid Corpn. Of India Ltd.,POWERGRID
Interglobe Aviation Ltd.,INDIGO
Hero Motocorp Ltd.,HEROMOTOCO
Godrej Consumer Products Ltd.,GODREJCP
Bajaj Finserv Ltd.,BAJAJFINSV
GAIL (India) Ltd.,GAIL
SBI Life Insurance Company Ltd.,SBILIFE
United Breweries Ltd.,UBL
Lupin Ltd.,LUPIN
Bayer CropScience Ltd.,BAYERCROP
Arvind Fashions Ltd.,ARVINDFASN
Arvind Ltd.,ARVIND
Pidilite Industries Ltd.,PIDILITIND
Nestle India Ltd.,NESTLEIND
Simran Wind Project Ltd.,TECHNOE
